time,discharge,exceedance probability,return period
1993-01-31,16.507,0.027777777777777776,36.0
2000-10-31,15.547,0.05555555555555555,18.0
1986-12-31,15.382,0.08333333333333333,12.0
1991-01-31,15.204,0.1111111111111111,9.0
1979-12-31,13.842,0.1388888888888889,7.199999999999999
1984-01-31,12.718,0.16666666666666666,6.0
1989-12-31,12.538,0.19444444444444445,5.142857142857142
1981-12-31,12.32,0.2222222222222222,4.5
1977-01-31,11.255,0.25,4.0
2000-03-31,10.833,0.2777777777777778,3.5999999999999996
1978-12-31,10.645,0.3055555555555556,3.2727272727272725
1977-12-31,9.926,0.3333333333333333,3.0
1981-02-28,9.682,0.3611111111111111,2.769230769230769
1996-12-31,9.059,0.3888888888888889,2.571428571428571
2004-01-31,9.035,0.4166666666666667,2.4
1989-01-31,8.814,0.4444444444444444,2.25
1985-01-31,8.583,0.4722222222222222,2.1176470588235294
1985-10-31,8.372,0.5,2.0
1976-02-29,7.893,0.5277777777777778,1.894736842105263
2008-01-31,7.618,0.5555555555555556,1.7999999999999998
1998-03-31,7.465,0.5833333333333334,1.7142857142857142
1983-01-31,7.391,0.6111111111111112,1.6363636363636362
2004-11-30,6.989,0.6388888888888888,1.565217391304348
1991-12-31,6.826,0.6666666666666666,1.5
2009-01-31,6.288,0.6944444444444444,1.44
1993-11-30,6.242,0.7222222222222222,1.3846153846153846
1988-01-31,6.198,0.75,1.3333333333333333
1996-01-31,6.0,0.7777777777777778,1.2857142857142856
1995-01-31,5.859,0.8055555555555556,1.2413793103448276
1998-10-31,4.673,0.8333333333333334,1.2
2007-03-31,4.142,0.8611111111111112,1.161290322580645
2001-10-31,3.3,0.8888888888888888,1.125
2005-11-30,3.152,0.9166666666666666,1.090909090909091
2003-07-31,2.6822912835396586,0.9444444444444444,1.0588235294117647
2009-10-31,1.195,0.9722222222222222,1.0285714285714287
